Player,Age_x,Tm_x,Cluster,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year,SeasonType_x,MPG,G_p,MP_p,PER_p,TS%_p,3PAr_p,FTr_p,ORB%_p,DRB%_p,TRB%_p,AST%_p,STL%_p,BLK%_p,TOV%_p,USG%_p,OWS_p,DWS_p,WS_p,WS/48_p,OBPM_p,DBPM_p,BPM_p,VORP_p,SeasonType_y,MPG_p,PER_diff,VORP_diff,WS/48_diff,abs_WS_diff,Pos_x_PF,Pos_x_PG,Pos_x_SF,Pos_x_SG
Andre Drummond,25,DET,11,79,2647,23.4,0.555,0.036,0.392,16.8,34.7,25.4,7.2,2.5,4.4,12.4,22.9,4.1,5.9,10,0.181,1.3,0.8,2.1,2.7,2019,Regular Season,33.50632911,4,127,15.6,0.451,0.019,0.389,13.9,29.3,20.6,12,2.2,3.6,14.8,24.5,-0.2,0.1,-0.1,-0.042,-1.9,-1,-2.9,0,Playoffs,31.75,-7.8,-2.7,-0.223,0.223,0,0,0,0
Bam Adebayo,23,MIA,0,64,2143,22.7,0.626,0.01,0.443,7.7,22.6,15.3,26.9,1.7,3.2,15,23.7,5.6,3.2,8.8,0.197,2.9,2,4.9,3.7,2021,Regular Season,33.484375,4,136,14.9,0.494,0,0.228,9.6,17.2,13.2,23.8,1.8,1.3,14.9,23.8,-0.1,0.1,0,0.011,0.4,0.5,0.9,0.1,Playoffs,34,-7.8,-3.6,-0.186,0.186,0,0,0,0
Bradley Beal,27,WAS,1,60,2147,22.7,0.593,0.27,0.332,3.6,10.4,7,21.3,1.5,0.9,10.6,34.1,4.2,1.7,5.9,0.132,4.8,-1.4,3.4,2.9,2021,Regular Season,35.78333333,5,195,17.5,0.54,0.26,0.293,3.2,14.5,8.7,19.3,1,1.2,12.6,34.1,-0.1,0,0,-0.01,3.9,-2.3,1.6,0.2,Playoffs,39,-5.2,-2.7,-0.142,0.142,0,0,0,1
CJ McCollum,29,POR,1,47,1600,20.8,0.577,0.475,0.15,2,10.6,6.2,23,1.3,1.2,6.5,27.1,4.1,0.6,4.7,0.141,5,-1.1,3.9,2.4,2021,Regular Season,34.04255319,6,240,12.8,0.518,0.368,0.114,3,14.1,8.7,17,0.4,1.5,9.1,24.7,0.1,0,0,0.007,-0.4,-2.9,-3.3,-0.1,Playoffs,40,-8,-2.5,-0.134,0.134,0,0,0,1
D'Angelo Russell,25,MIN,9,65,2077,16.3,0.544,0.531,0.246,1.3,10.1,5.6,33.1,1.4,1,13.2,25.1,2.9,1.5,4.4,0.101,2.2,-1.5,0.8,1.4,2022,Regular Season,31.95384615,6,196,8.5,0.455,0.431,0.222,0,8.1,4.3,32.2,2.1,0,17.7,21,-0.2,0.1,-0.1,-0.022,-1.8,-1.1,-2.9,0,Playoffs,32.66666667,-7.8,-1.4,-0.123,0.123,0,1,0,0
Damian Lillard,29,POR,2,66,2474,26.9,0.627,0.5,0.384,1.4,10.5,6,34.4,1.3,0.8,11,30.3,10.9,0.7,11.6,0.225,8.3,-0.9,7.5,5.9,2020,Regular Season,37.48484848,4,143,18.7,0.618,0.516,0.516,0.7,9.6,5.2,19.8,0.7,0.6,15.1,27,0.3,0,0.3,0.102,5.9,-1.5,4.5,0.2,Playoffs,35.75,-8.2,-5.7,-0.123,0.123,0,1,0,0
Danilo Gallinari,30,LAC,4,68,2059,21,0.633,0.421,0.459,2.9,18.1,10.7,13.2,1.1,0.9,8.5,23.8,6.4,1.8,8.2,0.191,4.9,-0.5,4.3,3.3,2019,Regular Season,30.27941176,6,201,13.6,0.474,0.387,0.297,4.7,16.5,10.3,12.5,1.9,0.4,8.1,27.9,-0.1,-0.1,-0.1,-0.031,0.6,-3,-2.4,0,Playoffs,33.5,-7.4,-3.3,-0.222,0.222,0,0,1,0
DeMar DeRozan,32,CHI,3,76,2743,23.1,0.59,0.093,0.386,2.3,13.7,8,23.3,1.2,0.8,9.2,31.8,7,1.8,8.8,0.154,3.4,-0.9,2.5,3.1,2022,Regular Season,36.09210526,5,203,13.4,0.481,0.095,0.316,0.5,14,6.7,20.9,2.1,1,9.2,25.7,-0.2,0.3,0.1,0.019,-1.3,0.5,-0.8,0.1,Playoffs,40.6,-9.7,-3,-0.135,0.135,1,0,0,0
Dillon Brooks,26,MEM,6,32,885,15.5,0.515,0.283,0.202,3.4,8.8,6,15.4,1.9,0.8,8,28.8,0.7,0.9,1.6,0.087,-1,-0.8,-1.8,0,2022,Regular Season,27.65625,11,335,6.9,0.44,0.419,0.145,2.4,7.3,4.7,13.8,1.5,0.9,10.7,25.1,-0.6,0.3,-0.3,-0.036,-3.3,-1.3,-4.6,-0.2,Playoffs,30.45454545,-8.6,-0.2,-0.123,0.123,0,0,1,0
Domantas Sabonis,26,SAC,0,79,2736,23.5,0.668,0.088,0.467,10.6,30,20.3,30.4,1.1,1.2,16.9,21.3,9.6,3,12.6,0.221,4.1,1.8,5.8,5.4,2023,Regular Season,34.63291139,7,243,15.9,0.517,0.051,0.283,12.6,19.9,16.2,20.8,1.9,2.3,18.9,22.4,0,0.3,0.3,0.064,0.1,0.7,0.7,0.2,Playoffs,34.71428571,-7.6,-5.2,-0.157,0.157,0,0,0,0
