Player,Pos,Age,Tm,G_p,MP_p,PER_p,TS%_p,3PAr_p,FTr_p,ORB%_p,DRB%_p,TRB%_p,AST%_p,STL%_p,BLK%_p,TOV%_p,USG%_p,OWS_p,DWS_p,WS_p,WS/48_p,OBPM_p,DBPM_p,BPM_p,VORP_p,Year,SeasonType,MPG_p
Aaron Gordon,PF,23,ORL,5,164,15.3,0.54,0.323,0.306,6.8,17.9,12.0,22.2,1.8,0.6,15.6,22.5,0.0,0.1,0.2,0.048,1.7,1.8,3.5,0.2,2019,Playoffs,32.8
Aaron Gordon,PF,25,DEN,10,299,10.5,0.505,0.232,0.253,7.4,13.5,10.2,9.4,0.8,0.9,11.3,18.0,0.0,0.0,0.0,-0.001,-2.2,-1.8,-4.0,-0.2,2021,Playoffs,29.9
Aaron Gordon,PF,26,DEN,5,160,15.7,0.52,0.278,0.519,13.5,14.4,13.9,12.0,0.6,3.9,10.8,20.2,0.3,0.0,0.2,0.063,0.9,-2.2,-1.3,0.0,2022,Playoffs,32.0
Aaron Gordon,PF,27,DEN,20,713,14.1,0.588,0.236,0.354,8.3,11.2,9.8,9.9,0.8,1.6,8.2,15.5,1.4,0.7,2.1,0.142,0.4,-0.6,-0.2,0.3,2023,Playoffs,35.65
Aaron Holiday,PG,23,IND,4,72,16.0,0.668,0.429,0.238,1.6,6.7,4.1,23.4,2.8,0.0,14.7,17.4,0.1,0.0,0.2,0.108,0.2,1.4,1.6,0.1,2020,Playoffs,18.0
Aaron Nesmith,SF,21,BOS,5,75,3.5,0.424,0.778,0.111,2.9,18.0,10.0,1.8,0.7,1.3,9.6,11.8,-0.1,-0.1,-0.1,-0.082,-4.9,-2.1,-7.0,-0.1,2021,Playoffs,15.0
Aaron Nesmith,SF,22,BOS,15,52,8.9,0.32,0.647,0.235,9.0,23.0,16.2,8.4,1.9,7.0,5.1,17.1,-0.1,0.1,0.0,0.026,-4.5,2.7,-1.7,0.0,2022,Playoffs,3.466666666666667
Al Horford,C,32,BOS,9,310,14.2,0.53,0.4,0.164,4.5,21.4,13.3,21.7,0.6,2.1,13.9,19.4,0.1,0.5,0.7,0.105,1.5,1.3,2.8,0.4,2019,Playoffs,34.44444444444444
Al Horford,C,33,PHI,4,129,10.7,0.499,0.16,0.28,7.3,17.1,12.1,11.6,0.4,3.6,9.7,10.5,0.1,0.0,0.1,0.049,-1.8,0.4,-1.3,0.0,2020,Playoffs,32.25
Al Horford,C,35,BOS,23,815,16.6,0.663,0.508,0.187,5.0,23.9,14.8,14.6,1.2,3.5,12.2,13.1,1.7,1.5,3.2,0.187,2.2,3.8,6.0,1.7,2022,Playoffs,35.43478260869565
