Player,Age_x,Tm_x,Cluster,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year,SeasonType_x,MPG,G_p,MP_p,PER_p,TS%_p,3PAr_p,FTr_p,ORB%_p,DRB%_p,TRB%_p,AST%_p,STL%_p,BLK%_p,TOV%_p,USG%_p,OWS_p,DWS_p,WS_p,WS/48_p,OBPM_p,DBPM_p,BPM_p,VORP_p,SeasonType_y,MPG_p,PER_diff,VORP_diff,WS/48_diff,abs_WS_diff,Pos_x_PF,Pos_x_PG,Pos_x_SF,Pos_x_SG
Anthony Davis,26,LAL,4,62,2131,27.4,0.61,0.199,0.479,7.4,22.1,14.8,15.1,2,6,10.4,29.3,6.7,4.4,11.1,0.25,5.4,2.6,8,5.4,2020,Regular Season,34.37096774,21,769,29.6,0.665,0.167,0.499,8.5,22.7,15.6,16.1,1.7,3.8,10.8,27.8,3.3,1.2,4.5,0.284,6.5,2.1,8.7,2.1,Playoffs,36.61904762,2.2,-3.3,0.034,0.034,1,0,0,0
Anthony Edwards,21,MIN,6,79,2842,17.4,0.564,0.375,0.274,1.9,15.9,9,19.3,2.1,1.8,13,29.9,0.2,3.6,3.8,0.064,1,0,1,2.1,2023,Regular Season,35.97468354,5,199,27.5,0.602,0.377,0.342,1.7,13.2,7.3,26.4,2.3,4.4,5.7,32.3,0.6,0.2,0.8,0.19,7.3,3.2,10.4,0.6,Playoffs,39.8,10.1,-1.5,0.126,0.126,0,0,0,1
Caleb Martin,27,MIA,7,71,2077,11.4,0.571,0.431,0.206,4.8,15,9.7,8.2,1.7,1.5,11.5,14.4,1.2,2.5,3.7,0.086,-1.8,0.5,-1.2,0.4,2023,Regular Season,29.25352113,23,694,15.3,0.657,0.505,0.17,4.4,16.4,10.3,7.8,1.5,1.3,9.8,15.9,1.2,0.8,2,0.14,0.6,1.7,2.3,0.8,Playoffs,30.17391304,3.9,0.4,0.054,0.054,0,0,1,0
Damian Lillard,30,POR,10,67,2398,25.6,0.623,0.528,0.363,1.4,11.5,6.3,34.6,1.3,0.6,11.6,31.4,9.6,0.8,10.4,0.209,7.5,-1.3,6.3,5,2021,Regular Season,35.79104478,6,248,30.4,0.66,0.582,0.373,0.5,11.4,6.1,41.3,1.2,1.5,7.7,30.7,1.5,0,1.5,0.286,12.2,0,12.2,0.8,Playoffs,41.33333333,4.8,-4.2,0.077,0.077,0,1,0,0
De'Andre Hunter,24,ATL,5,53,1577,10.6,0.547,0.339,0.289,1.8,10.4,6.1,6.1,1.1,1.2,9.6,19.9,0.4,0.7,1.1,0.034,-2.4,-1.5,-3.9,-0.8,2022,Regular Season,29.75471698,5,175,16.8,0.673,0.371,0.286,1.4,12,6.6,3.5,1.2,0.6,12.2,23.6,0.3,0.1,0.4,0.108,2.1,0.8,2.9,0.2,Playoffs,35,6.2,1,0.074,0.074,0,0,1,0
DeMar DeRozan,29,SAS,6,77,2688,19.6,0.542,0.034,0.336,2.2,16.4,9.4,27.6,1.6,1.1,11.7,27.9,3.6,2.6,6.3,0.112,1,0.1,1.1,2.2,2019,Regular Season,34.90909091,7,251,23.2,0.557,0.008,0.37,4.3,15.8,10.1,21.6,1.7,0.3,8,27.7,0.6,0.1,0.8,0.149,3,0.8,3.8,0.4,Playoffs,35.85714286,3.6,-1.8,0.037,0.037,0,0,0,1
Devin Booker,26,PHO,6,53,1835,22,0.601,0.296,0.336,2.7,12,7.2,27.3,1.4,0.9,10.6,31.8,4.2,1.9,6,0.157,4.5,-0.3,4.2,2.9,2023,Regular Season,34.62264151,11,459,28.6,0.686,0.253,0.278,3.1,10.2,6.7,29.1,2,1.6,10.6,29,2.1,0.2,2.3,0.236,8.7,2,10.7,1.5,Playoffs,41.72727273,6.6,-1.4,0.079,0.079,0,0,0,1
Dillon Brooks,25,MEM,7,67,1997,12.1,0.515,0.361,0.189,2.8,7.7,5.2,11.7,1.9,1.2,9.6,26.1,-0.5,1.8,1.4,0.033,-2.6,-1.1,-3.7,-0.9,2021,Regular Season,29.80597015,5,175,20.6,0.595,0.206,0.268,2.9,11,6.6,9.9,1.9,1.2,7.7,28.3,0.3,0,0.3,0.08,2.3,0.3,2.6,0.2,Playoffs,35,8.5,1.1,0.047,0.047,0,0,1,0
Donovan Mitchell,23,UTA,6,69,2364,18.8,0.558,0.352,0.24,2.6,11.3,7.1,21.6,1.4,0.5,11,30.8,3.2,2.2,5.4,0.11,2.4,-0.6,1.9,2.3,2020,Regular Season,34.26086957,7,264,33.7,0.696,0.408,0.369,2.7,12.6,7.8,25.6,1.4,0.7,13.7,37.5,1.4,0,1.4,0.26,9.3,0.2,9.5,0.7,Playoffs,37.71428571,14.9,-1.6,0.15,0.15,0,0,0,1
Eric Gordon,31,HOU,5,36,1016,10.3,0.51,0.654,0.231,0.9,6.5,3.7,7.9,1,1.1,7.8,22.5,-0.1,0.6,0.5,0.024,-1.8,-2.1,-3.9,-0.5,2020,Regular Season,28.22222222,12,410,12.8,0.537,0.511,0.227,1.6,7.4,4.4,14.7,1.2,1.7,11,23.8,0,0.4,0.4,0.053,-0.4,-0.6,-1,0.1,Playoffs,34.16666667,2.5,0.6,0.029,0.029,0,0,1,0
Jalen Brunson,26,NYK,10,68,2379,21.2,0.597,0.269,0.328,1.8,9.3,5.6,28.7,1.3,0.6,9.4,27.2,6.9,1.8,8.7,0.175,4.4,-0.5,3.9,3.5,2023,Regular Season,34.98529412,11,443,22.9,0.589,0.348,0.296,2.3,11.5,7,28.6,2,0.2,8.1,28.4,1.4,0.6,2.1,0.227,6.1,1.6,7.7,1.1,Playoffs,40.27272727,1.7,-2.4,0.052,0.052,0,1,0,0
Jamal Murray,22,DEN,0,59,1904,17.7,0.559,0.362,0.207,2.7,11.2,6.9,22.9,1.7,0.8,11.5,25.2,2.8,1.5,4.3,0.107,2,-0.8,1.2,1.5,2020,Regular Season,32.27118644,19,753,23.7,0.626,0.372,0.212,3.2,11.3,7.3,30,1.2,0.8,11.6,27.6,2.5,0.2,2.7,0.174,6.1,-0.2,5.9,1.5,Playoffs,39.63157895,6,0,0.067,0.067,0,1,0,0
Jamal Murray,25,DEN,0,65,2133,18,0.571,0.415,0.207,2.7,11,6.9,27.5,1.5,0.7,11.3,26.1,3.3,1.9,5.1,0.116,2.6,-1.3,1.3,1.8,2023,Regular Season,32.81538462,20,799,21.6,0.586,0.363,0.198,2.3,13.8,8.2,28.1,1.9,0.5,10.1,27.9,2,1,3,0.181,4.1,0.7,4.8,1.4,Playoffs,39.95,3.6,-0.4,0.065,0.065,0,1,0,0
James Harden,31,BRK,2,44,1609,24.5,0.618,0.455,0.44,2.5,20.6,11.9,44.4,1.6,1.8,16.8,28.4,5.3,1.7,7,0.208,6.2,1,7.2,3.7,2021,Regular Season,36.56818182,9,322,23.9,0.673,0.611,0.574,2.5,16.4,9.8,35.1,2.3,1.7,16.1,22.7,1.2,0.6,1.8,0.263,7,2,9.1,0.9,Playoffs,35.77777778,-0.6,-2.8,0.055,0.055,0,1,0,0
Jaylen Brown,22,BOS,6,74,1913,13.5,0.547,0.348,0.255,3.6,13.9,8.7,7.7,1.7,1.5,10.1,22.1,0.7,2.4,3,0.076,-1.6,-0.4,-2.1,0,2019,Regular Season,25.85135135,9,274,13.1,0.624,0.46,0.345,2.3,16.4,9.7,6.3,1.1,0.7,13,18.4,0.3,0.4,0.7,0.122,-0.5,1.2,0.7,0.2,Playoffs,30.44444444,-0.4,0.2,0.046,0.046,0,0,0,1
